==39839== NVPROF is profiling process 39839, command: ./class1b
==39839== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==39839== Profiling application: ./class1b
==39839== Profiling result:
==39839== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"TITAN V (0)","classify(float*, float*, int2)",1,"l2_utilization","L2 Cache Utilization","Low (2)","Low (2)","Low (2)"
"TITAN V (0)","classify(float*, float*, int2)",1,"tex_utilization","Unified Cache Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","classify(float*, float*, int2)",1,"ldst_fu_utilization","Load/Store Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","classify(float*, float*, int2)",1,"cf_fu_utilization","Control-Flow Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","classify(float*, float*, int2)",1,"tex_fu_utilization","Texture Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","classify(float*, float*, int2)",1,"special_fu_utilization","Special Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","classify(float*, float*, int2)",1,"half_precision_fu_utilization","Half-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","classify(float*, float*, int2)",1,"single_precision_fu_utilization","Single-Precision Function Unit Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","classify(float*, float*, int2)",1,"double_precision_fu_utilization","Double-Precision Function Unit Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_hp_efficiency","FLOP Efficiency(Peak Half)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_sp_efficiency","FLOP Efficiency(Peak Single)",0.624795%,0.624795%,0.624795%
"TITAN V (0)","classify(float*, float*, int2)",1,"flop_dp_efficiency","FLOP Efficiency(Peak Double)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"sysmem_read_utilization","System Memory Read Utilization","Idle (0)","Idle (0)","Idle (0)"
"TITAN V (0)","classify(float*, float*, int2)",1,"sysmem_write_utilization","System Memory Write Utilization","Low (1)","Low (1)","Low (1)"
"TITAN V (0)","classify(float*, float*, int2)",1,"stall_sleeping","Issue Stall Reasons (Sleeping)",0.000000%,0.000000%,0.000000%
"TITAN V (0)","classify(float*, float*, int2)",1,"pcie_total_data_transmitted","PCIe Total Data Transmitted",74240,74240,74240
"TITAN V (0)","classify(float*, float*, int2)",1,"pcie_total_data_received","PCIe Total Data Received",75776,75776,75776
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_executed_global_loads","Warp level instructions for global loads",102762496,102762496,102762496
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_executed_local_loads","Warp level instructions for local loads",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_executed_shared_loads","Warp level instructions for shared loads",0,0,0
"TITAN V (0)","classify(float*, float*, int2)",1,"inst_executed_surface_loads","Warp level instructions for surface loads",0,0,0
